Fon,French
"Nu a yi gbe bo na da ɔ, e na kpla we yi sεxwe fiɖe a na nɔ ta zo ɖe zanmε tεgbε ɔ.","Si tu acceptes de l'épouser, il te portera au ciel où tu brilleras toutes les nuits"
"Nu xovε sin we ɔ, ɖu atinsinsεn ɖokpo.","Si tu as faim, mange un fruit"
"Nu a ze ali ɔ, ɖu nuɖe.","Si tu prends la route, mange quelque chose"
A xo ɔ ni wa ɖi.,"Si tu pries, que cela devienne efficace"
"Nu mεɖe jlo na nyi lεngbɔ alo gbɔ ɔ, e ɖo na blo kpɔ ɖe ma fa a, ɖe ma kwiji din a nu ye.","Si un homme veut élever des chèvres ou des moutons, il faut qu'il leur donne une étable qui ne soit ni humide, ni malpropre"
"Nu zozo hin mi o, mi ɖe awu.","Si vous avez chaud, déshabillez-vous"
"Nu mi nɔ ɖɔ glεnsigbe ɔ, mi hεn ɔ mi na yi bi ɖo gbe ɔ mε.","Si vous parlez anglais, vous pouvez voyager n'importe où dans le monde"
"E ɖo abɔbɔ gbε do xa yɔkpɔvu lε wε ɔ, gbɔmikwin wε ye nɔ wa cyan do kamε nu mε.","Si vous prenez l'habitude de manger des haricots avec les gamins, ils en arrivent à mettre des crottes de mouton dans votre calebasse"
Sika ɖɔ Kɔjo na da Asiba.,Sika a dit que Kojo allait marier Asiba
"Dεdε ɔ, ji ɔ ja zanmε.","Silencieuse et calme, la pluie est tombée toute la nuit"
"Jε awa, mi ɖo Kutɔnu sin ali ji.","Sois heureux, nous sommes en route pour Cotonou"
Nu a nyi mε bi xɔsu.,Sois le roi de tous les hommes
Si mε !.,Sois sage !
Ma ɖi xεsi ɔ vi ce na ɖo finε bona yi we ɖo alɔ tɔn lε mε.,"Sois sans crainte, mon fils sera là pour te recevoir dans ses bras"
"Alo un na si, alo un na go sin xwe ɔ gbe.","Soit je leur obéis, soit je m'en vais de la maison"
"Alo a na wli alɔ, alo a na nɔ hwε dokponɔ.","Soit tu te maries, soit tu restes célibataire !"
Nεgbe tɔn ɖo ya do n'ε wε.,Son dos le fait souffrir
"Sɔkεbibyɔ tɔn, nu mɔ ɖiɖɔ ɔ, ɖi zun.","Son excuse, pour ainsi dire, ressemblait à une insulte"
Asu tɔn ɖo aklo ɔ mε.,Son mari est dans la pirogue
Hun tɔn lɔn bo hεn awεwε ɖe ɖo zizɔn wε ɔ sin awa gble.,Son sang gicla et abîma les ailes d'un papillon qui s'envolait
Azɔ tɔn nɔ din jε nukɔn nu vi tɔn.,Son travail passe avant ses enfants
Nukunmε tɔn we kpεde din.,Son visage était un peu trop blanc
Folo vi ɖagbe ɖagbe ɖe lε hwla ɖo atin lε sin ama gwlε.,Sous les feuilles des arbres se cachent de petites fleurs
Flin bo na n'ε nuɖuɖu gan atɔɔn mε azan lε bi.,Souviens-toi de le nourrir à cinq heures tous les jours
Mi xwe do mi na kpla mi yi.,"Suivez-moi, je vais vous y conduire"
"Do azowatɔ 250 mε, mε ko atɔɔn nukun atɔn jε nyi nyɔnu.","Sur 250 employés, il y a seulement 28 femmes"
"Ɖo tavo ɔ ji ɔ, wemaxixa ɖe.","Sur le bureau, il y a des livres"
"Nu kɔ xu i ɔ, ni nu bia.","S’il a soif, qu’il boive une bière"
"Nu ji jɔhɔn ɖe ɔ, jɔhɔn nɔ wεn aw'atin lε tɔn.","S’il y a une tempête, le vent casse les branches des arbres"
"Nu ye nyɔ xomε ɔ, e na na nu ye.","S’ils sont gentils, on les récompensera"
"Nu ye nylan hun ɔ, e na dɔn to nu ye.","S’ils sont méchants, on les punira"
Nɔ towe ɖo ganji a ?.,Ta mère est bien portante ?
Nɔ towe yi gbe a ? εεn.,Ta mère est d'accord ? - Oui
A nɔ we mε vo.,Ta mère exceptée
Nɔ towe fɔn ganji a ?.,Ta mère va bien ?
Jlo towe ni nyi wiwa ɖo jixwe kpodo ayikungban kpo ji.,Ta volonté soit faite sur la terre comme au ciel
Bo ma wa nu kpo ɖɔhun.,Talisman n'agit pas comme bâton
Fa yiyi nu wa jεn a ɖe nε.,Te voilà bien parti pour être initié
Tere sεn sε bo xya ɖo hwezivɔ gbe.,Tere coupa de la paille qu'il fit sécher au soleil
"Avɔ towe, e nyɔ ɖεkpε din.",Tes habits sont vraiment beaux
Mε towe lε ɔ ye ka yi wan nu ye ɖe a ?.,Tes parents s'aiment-ils ?
"Yi vi ce, yovozεn wo ɖie.","Tiens, C ésar, voici dix oranges;"
We kpo do asi towe kpo nukplɔnmε tɔwe mi nyi a ?.,"Toi et ta femme, êtes-vous professeurs ?"
"Hwε mε nyi gan lε sin gan ɔ, un jlo na kan nu ɖokpo byo wε.","Toi qui es le maître des maîtres, je veux te demander quelque chose"
Hwε mε ɖee nɔ co mε e nɔ nɔ gbemε lε bi ɔ.,Toi qui veilles sur tous les habitants de la brousse
Alɔnuzɔwatɔ wε nyi tɔ towe à ?.,Ton père est-il artisan ?
Togun towe sɔ na nɔ fun ahwan ɖo zinflu mε an ɖo mεkpikpɔn towe na nɔ ta zo ɖo ahwan fun nu ye tɔn lε ji.,"Ton peuple n'aura plus à se battre dans l'obscurité, car ton regard éclairera ses armes"
Awu towe ɔ ɖagbe wε.,Ton vêtement est de qualité
Mε bi nɔ nyi wa nu nukun tɔn kloklo ɖe nɔ ta zo ɖi hwezivɔ ɖɔhun.,Tous admiraient ses grands yeux qui brillaient comme le soleil
Kpasatin lε bi ɖo foloo mε.,Tous les baobabs sont en fleur
"Gbadanu tεgbε tεgbε ɔ, e nɔ yi kpɔn ε ɖo xwe tɔn gbe.","Tous les soirs, il allait la voir chez elle"
Azɔ mitɔn lε bi vɔ.,Tous nos devoirs sont finis
Elɔ lε bi ɔ nujεnumε tawun wε.,Tout ceci n'est que pure coïncidence
"Din trolo din ji, jε jija ji.","Tout de suite après, il s'est mis à pleuvoir"
Kpasatin ɖaxoɖaxo gbɔn ali ɔ to bi.,Tout le long de la route se dressent de hauts baobabs
Mε bi ɖi ɖɔ nukɔn yiyi ɔ nyɔ.,Tout le monde croyait que le progrès était merveilleux
Mε bi ɖo na ɖɔ glεsingbe ɖo hwemitɔn nu din.,Tout le monde devrait parler l'anglais de nos jours
Mε bi ɖo na nɔ xwegbe.,Tout le monde doit rester à la maison
Mε bi ɖo gbε nu wε.,Tout le monde profitait du beau temps
Xwe ɖokpo ɔ wa yi sin wiwa tɔn.,Toute une année s'est écoulée depuis son retour
Nuɖe a blo lε bi sɔ gbe.,Toutes ces opérations sont justes
E mε atɔn lε bi ku ma se nukplɔn mε nɔ yetɔn ɖagbe ɔ tɔn.,Toutes trois sont mortes pour avoir méprisé les conseils de leur bonne mère
Azɔmεvi gege ɖe nɔ yi finε a.,Très peu d'élèves la fréquentent
"Azan atɔngɔ gbe ɖe e jlo na bε ɔ, hannuhannu vɔvɔ hanɖu i ɖo alɔ ɖisi.","Trois jours après, quand il voulut la ramasser, il fut mordu à la main droite par un gros termite rouge"
Ana atɔn gbɔn tɔsisa ɔ ji.,Trois ponts passent sur la rivière
A ɖo azin xɔ wε.,Tu achètes des oeufs
A xɔ wema wε à ?.,Tu as acheté des livres ?
A ɖo ta ɖagbe din.,Tu as beaucoup de chance
A kun do ɖo fitε ɖo gle ɔ mε ?.,Tu as creusé un fossé dans quelle partie du champ ?
A ko wa azɔ towe à ?,Tu as déjà fait ton travail ?
A se hwenuxo gudo tɔn à ?,Tu as entendu la dernière histoire ?
A se alokan ɔ à ?,Tu as entendu le téléphone ?
A cɔ ajotɔ ɔ bɛ sin fitε ?,Tu as guetté le voleur à partir d’où ?
A xo kwin kpodo alɔ ɖe tε kpo ?,Tu as joué aux billes avec quelle main ?
A ɖi mɛ d'e ci kɔ nu we.,Tu as l'air exténué
A jo atinsinsεn nyanya ɖokpo ɖo ɖagbe ɖe lε mε.,Tu as laissé un mauvais fruit au milieu des bons
A ɖo hwεjujɔ.,Tu as raison
Xɔ tε mε sin azinkpo a blo ɖo ?,Tu as réparé le meuble de quelle chambre ?
A lɔn jε tɔ ɔ mε sin aklo ɖe tε mε ?,Tu as sauté dans l’eau à partir de quelle barque ?
A gbɔ azɔn nu azinzɔnɔ ɔ.,Tu as soigné le malade
A gbɔ azɔn nu azinzɔnnɔ ɔ kpodo atinkεn ɖetε lε kpo ?,Tu as soigné le malade avec quels médicaments ?
A w'azɔ nu ganxixo enε ɔ bi wε à ?,Tu as travaillé tout ce temps-là ?
A hu xɔ ɔ kpodo nu tε kpo ?,Tu as tué l’agouti avec quoi ?
A ɖo xɔntɔn ɖe do xɔ tɔn mε wε à ?,Tu as une amie dans sa classe ?
A mɔ ɖɔ un sɔ wema emi lε tɔn.,Tu as vu que j’ai pris ton livre
A ɖo sɔ ɔ sin ɖo atin ɔ wu wε.,Tu attaches le cheval à l’arbre
A ɖo te kpɔn pipan ɔ.,Tu attends le train
A ɖo sukpɔ ɔ wli wε.,Tu attrapes la mouche
A ɖo kɔhota za wε.,Tu balaies la cour
A ɖo alɔ xo wε.,Tu bats des mains
A ɖo kafe nu wε.,Tu bois du café
A su saki tɔn wε.,Tu boucles ton sac
A na ba wemasunsunnu ɔ bo na mɔ.,Tu cherches la gomme et tu la trouves
A ɖo nuwlannu towe ba wε.,Tu cherches ton crayon
A na sɔ wema xixa ɖokpo.,Tu choisis un livre
A na xa nu sin ɖokpo sɔ yi kanweko.,Tu comptes de 1 à 100
A su wema ɔ.,Tu couvres le livre
A ɖo amaga ɖe lε gba wε.,Tu cueilles quelques mangues
A na wa nyla hun ye ɖɔhun.,Tu deviendras méchant comme eux
Winya ɖo na hu we.,Tu devrais avoir honte
A ɖo na ɖo to radio gbadanu.,Tu devrais écouter la radio ce soir
A ɖo na ɖɔ xo n'ε do a hεn ɔ a na yigbe nu nukanbyɔ tɔn lε.,Tu devrais lui parler parce que tu peux répondre à ses questions
A ɖo na o xwe do nukplɔnmε ce lε.,Tu devrais suivre mes conseils
A ɖo na kplɔn hweɖe do mɔ.,Tu devras t'y habituer
Mimɔ ε sin akpakpa ɖona ɖo sisɔ we wε.,Tu dois avoir hâte de le revoir
A ɖo na syεn do glεnsingbe mε nu a nɔ yi Glεnsi tomε xwe lε bi ɔ.,Tu dois être bon en anglais si tu vas en Angleterre tous les ans
A ɖo na blo ɖi dε mi ɖo ɖiɖɔ nu wε o.,Tu dois faire comme on te dit
A ɖo na ɖɔ nu mi.,Tu dois me raconter
A na xa so ɖaxo ɔ ji.,Tu dois monter sur le grand rocher
A ɖo na su axɔ.,Tu dois payer sa dette
A ɖo na da hu mɔ.,Tu dois peser plus que cela
A ɖo ná su àxɔ́.,Tu doit payer sa dette
A nɔ dɔ amlɔ ɖo wε hwebinu.,Tu dors tout le temps
A ɖo ta nyinyɔ !.,Tu en as de la chance !
A ɖo zingbidi ɖe se wε.,Tu entends des bruits bizarres
A yi Kutɔnu bo na yi ba atinkεn.,Tu es allé à Cotonou pour chercher un médicament
A nɔ na nu mε.,Tu es gentil
A wa ɖaxo hu nyɔnu lε bi.,Tu es la plus grande de toutes les femmes
Mεxo ce wε a nyi.,Tu es mon aîné
Ahannumunɔ wε nyi we.,Tu es un alcoolique
"Nu a na wa jε nukɔn ɔ, e wa gbɔn gudo a ɖe nε.",Tu fais à la fin ce que tu devrais faire au début
A blo ganji ɖo un sɔ ɖo nuɖuɖu ă.,Tu fais très bien parce que je n'avais plus de nourriture !
A blo ganji ɖo un sɔ ɖo nuɖuɖu ă.,"Tu fais très bien, mon enfant, parce que je n'avais plus de nourriture !"
A ɖo azɔ towe fo wε.,Tu finis ton devoir
A na yi do rɔbu towe kpɔn.,Tu iras essayer ta robe
Ze wɔxuxu ɖe kpo nu xεvi lε.,Tu jettes des miettes de pain aux moineaux
A ɖo kwin da wε.,Tu joues aux billes
A nɔ xo bo nɔ ɖu.,Tu joues et tu gagnes
A ɖo azɔ gbɔ n'ε wε.,Tu le guéris
A na wa ɖu ye ɖo hweɖevonu.,Tu les mangeras plus tard
A ɖo yε ma nu ye wε.,Tu leur distribues des images
A ɖo wɔxuxu nε wε.,Tu lui donnes du pain
A ɖo folo n'ε wε.,Tu lui offres des fleurs
E yi gbe n'i kpodo xomεhunhun kpo.,Tu lui réponds avec gentillesse
A ɖo te kpɔn e.,Tu l’attends
"A ɖɔ nu mi ɖɔ a na ɖo wemaxixatεn, a ka ɖo finε ă.","Tu m'as dit que tu serais à la bibliothèque, or tu n'y étais pas"
Atinsinsεn tε a nɔ ɖu ?.,Tu manges quoi comme fruit ?
"E ci nu mi ɖo a ɖo alwε mε, nε gbɔn ?.","Tu me parais bien triste, qu'as-tu donc ?"
A ze mi mɔ mεslεtɔ na abi ?.,"Tu me prends pour un traître, c'est ça ?"
A nɔ do xomε sinsin nu mi.,Tu ménerves
A ɖo ati lε bε yi jinukunxo mε wε.,Tu montes les sacs au grenier
A ko fo din a e.,Tu n'as pas bientôt fini
A se nuɖe e ɖɔ a e.,Tu n'as pas écouté ce qu'il a dit
A na o gɔn ahan nu sɔ mɔ.,Tu n'aurais pas dû boire autant
A si ɖɔ ɖ'ayi a e ?.,Tu n'aurais pas pu le dire avant ?
Nuti na gu we a bo a si na ɖo mɔ akwε gege.,Tu n'aurais rien à perdre et tu pourrais peut-être avoir beaucoup à gagner
A ɖo wezunkinkan kpoɖo hun kpo sin hu do ă.,Tu n'avais pas besoin de conduire vite
A do nu wlan se do e sin hudo ă.,Tu n'avais pas besoin de lui écrire
A sɔ wa xwegbe azɔn ɖokpo do xwe atɔɔn mε à.,Tu n'es pas revenu à la maison une seule fois en cinq ans
E na blo nu ganji nu ε ma kun hun ɔ a.,Tu ne devrais pas prêter attention
A ɖo nugbo ɖɔ wε à.,Tu ne dis pas la vérité
A si kan wezun hu mɔ a e ?.,Tu ne pourrais pas conduire un peu plus vite ?
A ɖo folo xwle wε.,Tu offres des fleurs
A lin ɖɔ e si gɔn nu sun ɖokpo à ?.,Tu penses qu'il pourrait être absent un mois ?
A hεn ɔ a na nu kafe.,Tu peux boire du café
A hεn ɔ a na hwe xojlawema ce nu a ba ɔ.,Tu peux m'emprunter mon journal si tu veux
A sixu gɔn alɔma wli.,Tu peux ne pas te marier
A sixu do zemijan ɖo Kutɔnu toxomε.,Tu peux prendre le taxi-moto à l'intérieur de Cotonou
A sixu do pipan alo tasii.,Tu peux prendre le train ou un taxi
A hεn ɔ a na hwinlin togun towe gan.,Tu peux sauver ton peuple
A hεn ɔ a na hwlεn togun towe gan nu a se nukplɔnmε ce ɔ.,Tu peux sauver ton peuple si tu suis mon conseil
A hεn a na tɔn.,Tu peux sortir
A si kan wezun nugbo hu mɔ à ?.,Tu peux vraiment courir aussi vite que ça ?
Ayihun da a ɖe !.,Tu plaisantes !
A na hεn xasun ɔ.,Tu portes le panier
A nɔ nu kafε zanzan à ?.,Tu prends du café au petit déjeuner ?
A ze nuxixawema towe.,Tu prends ton livre
Nuɖe a mɔ ɖɔ a ɖe.,Tu racontes ce que tu as vu
A ɖo yovoslɔ myamya bε wε.,Tu ramasses des pommes mûres
A gɔ go ɔ ɖo agboɖe.,Tu remplis la bouteille à moitié
A ɖo nukpakpa gbɔn wε.,Tu rôdes
A tuwun ɖɔ wamɔnɔ wε nyi mi.,Tu sais que nous sommes pauvres
A ɖo awu towe hεn kwiji wε.,Tu salis ton tablier
A ɖo gbe do nu mεsi towe wε.,Tu salues ton maître
A ɖo nuwlannu towe kpa wε.,Tu tailles ton crayon
A gble wu hwe ɖe.,Tu t’es blessé
Wutu na vε we.,Tu vas te faire mal
A no ɖo wezun din !.,Tu vas trop vite !
A nɔ sa nu v’axi.,Tu vends cher
A no sa nu axivεxivε.,Tu vends trop cher
A nɔ sa nu v’axi din.,Tu vends trop cher
A ba na ɖo to mi à ?.,Tu veux bien écouter ?
A ba na nu nuɖe à ?.,Tu veux boire quelque chose ?
A jlo na ɖɔ nu mi ɖɔ e nyɔ nu e ă ?.,Tu veux me dire qu'il va mal ?
A jlo na nugbo na tuwun ɖe un nɔ ɖa ata ce ɖagbeɖagbe lε gbɔn à ?.,Tu veux vraiment savoir comment je cuis mes délicieux gâteaux ?
A wa kpɔn mi ɔ.,Tu viens me voir
"A mɔ amisa ɔ à, un nɔ nɔ finε tlɔlɔ.","Tu vois l'église, j'habite juste avant"
Mεxoxo nɔ wa mɔ a.,Un adulte n’agit pas de la sorte
Wiwa nɔ bu gbeɖe a.,Un bienfait n'est jamais perdu
Yovo ɖu nu ma ɖu desεε.,Un Blanc ne mange pas sans manger un dessert
Vεεn kofu vlo hwe bo na mu mε.,"Un demi-verre de vin, c'est une trop petite quantité pour être ivre"
Vi ɖokpo ɖo koklosi azin ɖu wε ɖo nɔ tɔn kpa.,Un enfant mangeait un oeuf de poule près de sa mère
Vi ɖe nyi jiji ɖo gleta.,Un fils est né au village
Atinsinsεn j'ayi ɔ e nɔ gble.,Un fruit tombé se gâte
Sunnu ɖu wɔ tε asi tɔn. E ɖɔ,"Un homme a mangé de la pâte sans en laisser à son épouse. 'On verra bien à l'heure du coucher', lui dit-elle"
"Nyaɖe nyε awɔn ɖo Ahwlikpɔnuwa nukɔn bo kpɔn gudo. E ɖɔ nu a na wa jε nukɔn ɔ, e wa gbɔn gudo a ɖe nε.","Un individu pète devant Ahwlikpɔnuwà et regarde en arrière. 'Tu fais à la fin ce que tu devrais faire au début', lui dit-elle"
Nya ɖu axɔ bɔ vodun tɔn wa. E kpe axɔ sebla mɔ ɖe wu ă.,Un individu s'endette et son vodun prend possession de lui. II ne réussira pas une telle combine au sujet de la dette
Te voilà bien parti pour être initié !',"Un individu se rendant à l'initiation au Fá fait tomber le devin, bokɔnɔ, son initiateur. Il dit "
Gbe ɖokpo wa su bɔ kεntɔ dida ɖe lε wa tɔn ahwan gleta enε ɔ kpodo ɖe se kpɔ elε kpo.,"Un jour, des ennemis féroces et sanguinaires attaquèrent le village de Boako, ainsi que tous les villages des environs"
Gbe ɖokpo wa su bɔ e ɖiɖo zunkan ɖaxo mε.,"Un jour, elle s'en alla bien loin dans la savane"
Gbe ɖokpo ɔ e hεn nuwlannu tɔn bu bo ka ɖɔ nu mεsi ɔ a.,"Un jour, il perdit son crayon, mais ne dit rien a l'instituteur"
Gbe ɖokpo wa su bɔ e mɔ ku tɔn se ɖo bo ylɔ vi tɔn lε bo ɖɔ nu ye ɖɔ.,"Un jour, sentant la mort venir, il appela ses enfants et leur dit"
Degɔn kilo ɖokpo caki ɖokpo kpɔn tantɔn.,Un kilo de crevettes coûte 1800 F
Wanyiyi kpεɖe si hun wa nyanya a.,Un peu d'amour ne peut faire de mal
Gbocɔtɔ ɖokpo kpe wu bo na cɔ ye mε gege.,Un seul gardien suffit pour en conduire plusieurs
Sun wewe wε ɖo xwe ɖokpo mε.,Une année compte 12 mois
Azan 365 wε ɖo xwe ɖokpo mε.,Une année compte 365 jours
Koklo-si ɖevo ɖo e ye a ye ?,Une autre poule ne l'a-t-elle pas pondu ?
Nyɔnu nyla we ɖu bo ɖo nu anɔkan.,Une femme danse mal et prétend que ses seins flétris en sont la cause
Nyɔnu xoxonɔ na ɖu jε a.,Une femme enceinte ne doit pas manger de sel
Ganxixo ɖokpo ɔ ceju kanɖe ko wε.,Une heure vaut 60 minutes
Lεngbɔvi kpεvi ɖokpo nɔ se nukplɔn mε nɔ tɔn a.,Une jeune chèvre n'écoutait pas les conseils de la mère
Nyɔnuvi kpεvi nɔ nɔ gle ɖe ta bo nɔ nyi Boako.,Une jeune fille nommée Boako vivait dans un village
Cεju ɖokpo ɔ nukun hwihwe kanɖe ko wε.,Une minute vaut soixante secondes
Sukpɔ ɖu i bo e bε amlɔ sin azɔn.,"Une mouche tsé-tsé l'a piqué, il a la maladie du sommeil"
Poesie nukiko wε jizangbe wε.,"Une poésie, c'est un sourire un jour de pluie"
"Nyibusi ɖokpo yi zɔ ɖo gbε tɔn lε, cuku ɔ jε nyinyε ji.","Une vache s’éloigne de son troupeau, le chien lui donne la chasse"
Sukpɔ kpikpo ɖokpo kple vi tɔn atɔn lε bo ɖɔ nu ye ɖɔ.,Une vieille mouche réunit ses trois enfants et leur dit
Mɔto ɖokpo tɔn sin aɖisi mε.,Une voiture déboucha sur la droite
"Yi azɔmε, e nyɔ hu.","Va à l'école, c'est mieux"
Wa i xɔ wɔxuxu wa.,Va acheter du pain
"Wa ɖu nu, bo ɖu nu !","Venez manger, allez-y ! Mangez !"
Mi kpɔn ɖɔ penε mitɔn ɖo tεn.,Vérifiez que vous n'avez pas un pneu à plat
Wun nu mi ma nu.,Verse-moi à boire
A jlo na ma yovozɔn enε ɔ lε xa xɔntɔn towe lε ?,Veux-tu partager ces oranges avec tes camarades ?
A na wa gɔn ce kpo mi na ɖɔ xo kpεɖe.,Viens chez moi et nous pourrons discuter
"Wa ɖu nu, e ya ɔ a na fo.","Viens manger, tu finiras après"
"Xɔntɔn ce alo ma yi mε ɔ ɖie, Koku.","Voici mon meilleur ami, koku"
Gannu alanɔ ɖokpo ɖie.,Voici une assiette en plastique
A mɔ a tɔ ce à jo yovozεn nyinyɔ ɖokpo ɖo ɖagbe ɖe lε mε.,"Vois-tu, papa, tu as laissé un mauvais fruit au milieu des bons ?"
Gannu mitɔn lε nɔ kɔn.,Vos casseroles brillent
Mε mitɔn lε ɖi ga wε a ?,Vos parents sont-ils grands ?
Tɔ mitɔn sin ahɔn mε sun wε a ?,Votre père est-il chauve ?
Mi sixu kɔn sin fifa kpεɖe do kafe ce mε a ?,Voudriez-vous me verser un peu d'eau froide dans mon café ?
Mi ba bia alo vεεn ?,Voulez-vous de la bière ou du vin ?
Mi mε we lε bi we do gbojε sin hu do.,Vous avez tous les deux besoin d'un repos
Mi ɖo hɔn ɔ gba wε.,Vous démolissez la porte
Mi ɖo na si sεn ɔ.,Vous devez obéir à la loi
Mi ɖo na gbɔn denu.,Vous devez passer par la douane
Mi ɖo na fo azɔ enε ɔ co sɔ na su.,Vous devrez terminer ce travail pour demain
Winya ɖona hu mi.,Vous devriez avoir honte de vous
Mi na vɔ blo.,Vous en reprendrez ?
Mi zɔn afɔ kabi mi hεn mɔto ?,Vous êtes à pied ou en voiture ?
Mi hwla ɖo atin lε gudo.,Vous étiez cachés derrière le buisson
Mi ɖo saɖi wε ɖo ali lε ji.,Vous flânez dans les rues
Mi ɖo atinsinsεn na yi ze jo nε wε.,Vous lui portez des fruits
Mi ɖo zɔnlin ɖi wε gbɔn ali to.,Vous marchez au bord de la route
Mi do alokan titε sin hu do a.,Vous n'avez pas besoin de téléphoner
Mi wa azɔ ɔ a.,Vous n'avez pas traité le sujet
"Mi tuun gbεtɔ a, nyε tuun.","Vous ne connaissez pas l'homme, moi oui"
Mi si kplɔn tɔlinlin ma gɔn tɔ ku a.,Vous ne pouvez pas apprendre à nager sans vous noyer
Mi si da ayihun ɖokpo a.,Vous ne pouvez pas jouer ensemble
Mi si d'asa tɔsisa o a.,Vous ne pouvez pas traverser la rivière
Mi sɔ yi wan nu mi nε a ye ?,Vous ne vous aimez plus ?
Mi ɖo flεsεε ɔ hun wε.,Vous ouvrez la fenêtre
Mi nɔ hun flεsεε lε.,Vous ouvrez les fenêtres
Mi lin ɖɔ e na tɔn a ?,Vous pensez qu'il va s'en sortir ?
Mi lin ɖɔ Sika wɔn ɖɔ ye kεn ɖɔ Kɔku na ylɔ emi.,Vous pensez que Sika a oublié qu’ils avaient parié que Koku va l’inviter
Mi sixu lε ɖɔ a ?,Vous pouvez répéter ?
Mi ɖo adingban ɖɔ wε.,Vous racontez un mensonge
E na su xo ɖɔ ta mitɔn nu mi ma se to nu ă.,Vous serez grondés si vous n’obéissez pas
"Mi d'asa hunɖotεn sin ali ɔ, mi na dlɔn ɖo togan ɔ sin xɔkɔn bo finε ɔ mi si mɔ xwedo tɔn sin mε dokpo.","Vous traversez le rue de la gare, vous vous dirigez vers le palais du président et la vous verrez peut-être l'un des membres de la famille royale"
"Mi na mɔ, ye jlε.","Vous verrez, c'est indiqué"
Mi d'ayihun ganji.,Vous vous êtes bien amusés ?
Mi gble wu mi ɖe lε.,Vous vous êtes blessés
E ɖo xεsi ɖiɖi sin hu do à ?,Y a-t-il besoin d’avoir peur ?
Azinzɔnnɔ ɔ ɖo xɔ ɔ mε wε a ?,Y a-t-il un malade dans la chambre ?
Amisa ɖo gleta towe mε à ?,Y a-t-il une église dans ton village ?
"Gbɛmɛ fi ɔ, wa nu mɛ wɛ ye nɔ wa na","  Dans la vie, si tu fais quelque chose, ils font avec"
E wa nyi etɛ ?,C'est quoi cela ?
"Nɔvi ce, nyɔnuvi, atɔngɔ atɔn nyɛ n’ɛ mɛ w'ɛ ɖe nu mi","  Ma sœur, une petite fille, la troisième personne qui vient après moi"
Bɔ e xo jɛ asi tɔn,Elle est tombée enceinte
Xo ɖe asi tɔn e ja vi na ji gbe azan nabiɖe,"  Il y a trois jours, elle a voulu accoucher"
Bɔ e wa ylɔ mi bo ɖɔ nu mi ɖɔ mɔ wɛ kwɛ ɖe kun ɖo emi sin o,Elle m'a appelé pour me dire ainsi qu’elle n'a pas d'argent
Bɔ un ɖɔ ok,Et j'ai dit
"Un wa bɛ wezun ɔ, un wa ba kwɛ ɖe bo wa ɖo wezun yi gɔn tɔn","  Quand je me suis mis à courir, je suis venu chercher l'argent et j'ai couru pour aller chez elle"
Bo wa yl'ɛ katie Agla wɛ e nɔ nɔ,Je l'ai appelée au quartier Agla où elle habite
"Un tɛ tuun katie, xwe ɖe gbe e nɔ nɔ ă",Je ne connais pas vraiment le quartier et la maison où elle habite
Bo mi ɖo rendez-vous ɖo komisaria ɖe sin nukɔn,Et on s'est fixé un rendez-vous devant le commissariat
Bo un wa yi mɔ ɛ,Et je suis venu la voir
Un mɔ ɛ ɔ adɔgo tɔn ko wa do bi,J'ai vu que son ventre est totalement descendu
Bɔ a mɔ ɛ ɔ a na ɖɔ je e jan ji vi wɛ,Tu vois qu'elle risque d’accoucher
Bɔ un ɖɔ ah !,Et j'ai dit
Ye na emi azan tɔn emi ni lɛ kɔ wa,On m'a proposé de revenir dans trois jours
Bɔ un ɖɔ ah ! Hwɛ jan ji vi wɛ,Et je lui ai dit
Bɔ mi ɖɔ xo ɖo finɛ,Et on a parlé là
"Bɔ nyɛ xwe yi gbe, un ze caki atɔɔn n'i","  Et lorsque j’ai voulu partir, je lui ai remis 5000 F"
Bɔ un wa yi,Et je suis parti
"Un wa yi ɔ, ayihɔntɔn gbe jɛn, telefon sone kakakaka ye ylɔ mi ɔ","  Quand je suis parti, seulement le lendemain, le téléphone a sonné jusqu'à ce qu’ils m’ont parlé"
Nyɛ tɛ tuun a dada ce ɖaxo bi ɔ wɛ wa ɖo ylɔ mi wɛ,Je ne savais même pas que c'est ma grande sœur qui m'a appelé
Bɔ un wa wa yi ɔ un wa wa kpɔn portable ce ji ɔ un mɔ ɖɔ jre ke ye ɖo ylɔ mi wɛ bɔ un wa ylɔ ye,"  Et quand je suis allé, je suis venu voir sur mon portable qui m’a appelé et je les ai rappelés"
